hour,cex_inflow_usd,cex_outflow_usd,cex_tx_count,inst_inflow_usd,inst_outflow_usd,inst_tx_count,stable_inflow_usd,stable_outflow_usd,stable_tx_count
2024-01-04 14:00:00.000 UTC,348047684.9556639,330397132.2594166,12305,47001938.2524737,34963008.432030186,23,277109916.83752733,270576977.5402721,3619
2024-01-04 15:00:00.000 UTC,1563459963.998051,1548312269.7007484,13014,44291883.0236021,61811492.586623155,45,1376798576.5220745,1364484476.9507413,3782
2024-01-04 16:00:00.000 UTC,316636073.118884,284039535.8075877,12578,22588044.385485567,17173219.927485645,28,235584725.96686596,198731987.58535755,3632
2024-01-04 17:00:00.000 UTC,637755254.6762546,597517391.6597961,11765,17623153.064253945,9080859.493498247,37,470349428.94847393,439312573.3829431,3207
2024-01-04 18:00:00.000 UTC,461539690.4436838,533589110.29619193,11557,82852352.55066013,47685899.04709115,18,367274127.74063146,458216375.12812597,3455
2024-01-04 19:00:00.000 UTC,292430843.1566837,242247535.4532746,11655,12704301.90965841,8636073.28574609,39,229909129.73758578,159517442.94745886,3434
2024-01-04 20:00:00.000 UTC,442967758.95667005,451514893.8402845,12158,15878996.38810724,68019480.79848075,18,251580558.05205235,246067862.49816543,3396
2024-01-04 21:00:00.000 UTC,243039881.9347495,180455432.8653097,11535,8894107.61076245,8769171.943860393,25,207253679.5829116,139583985.8539576,3205
2024-01-04 22:00:00.000 UTC,141612425.4531298,184827338.73951542,11947,10224565.740312647,6711211.581828191,31,101682152.05083042,132686808.79275544,3274
2024-01-04 23:00:00.000 UTC,157828374.36519054,184146493.5567264,12226,10020250.040867142,48.70990601513713,16,128579728.0943332,144313759.76302794,3299
2024-01-05 00:00:00.000 UTC,230035418.84607717,226296109.45945805,10896,991187.8862991035,8105780.404854404,15,171912412.62427038,157366340.83304793,2959
2024-01-05 01:00:00.000 UTC,238877469.56040627,233184447.3542069,10270,416392.8003541065,1104527.4351272,13,123990491.45921536,134080415.22831158,2540
2024-01-05 02:00:00.000 UTC,218555729.54360282,253345804.36522326,10061,494055.71527322114,1913460.5631554897,16,145842673.14002928,184714823.65337986,2691
2024-01-05 03:00:00.000 UTC,247908422.7136871,165614193.25297675,11439,5827098.510983129,2165409.9484138973,18,179502644.74984166,114109134.15598445,3527
2024-01-05 04:00:00.000 UTC,159839857.07060605,176188314.07937205,8162,200500.31299999997,2052715.4849737897,6,106054710.96197061,128663516.67527516,2129
2024-01-05 05:00:00.000 UTC,197461931.27345675,152649228.36611515,10399,465389.34707066923,1501651.4530708038,12,82851945.43637423,67187080.87325014,3015
2024-01-05 06:00:00.000 UTC,102741504.73941566,102837503.22040933,8268,219281.4706588666,4138534.528164925,10,47473639.08182726,34872793.40836322,2143
2024-01-05 07:00:00.000 UTC,214673552.79608577,213696425.21248952,9544,2105553.1364014237,1867843.0298526161,18,148499974.41769946,127270492.15822652,2373
2024-01-05 08:00:00.000 UTC,191902347.33197787,183372670.8421855,9759,1904240.5591479412,7440425.226267501,17,103797282.08741571,95504915.50580399,2904
2024-01-05 09:00:00.000 UTC,173840888.7900743,153688368.87478662,10245,19059041.81213141,6061291.794954578,30,116090046.70403494,88221618.1120233,3078
2024-01-05 10:00:00.000 UTC,250589653.700486,226976001.6543768,10289,6162442.262256003,21695758.80076826,23,171595411.3928293,162993773.96619883,3190
2024-01-05 11:00:00.000 UTC,825035862.9686527,835312542.0231495,11579,20466842.1587808,16167931.776992768,20,83297054.79828377,76901702.5072607,3560
2024-01-05 12:00:00.000 UTC,205903002.86424068,217563488.7696447,11352,2979062.4064391404,5308289.913684735,54,123092375.73273371,137975695.19592187,3526
2024-01-05 13:00:00.000 UTC,136106238.974907,185935564.34486243,11374,60923687.84095403,59860227.80903807,47,86523910.50708653,81511280.10256776,3459
2024-01-05 14:00:00.000 UTC,276783206.0445236,310786950.8010054,12386,15164623.469631314,3363038.5310986843,44,206193956.02077532,246141141.91523767,3520
2024-01-05 15:00:00.000 UTC,622129442.7009913,524219803.1394201,12272,25724766.611587632,18728589.689741373,53,497166658.1931269,456343632.86418664,3970
2024-01-05 16:00:00.000 UTC,331827841.52375287,316678908.024013,12087,21375909.919086456,28551024.95844808,67,207248584.46726677,202664001.29844156,3709
2024-01-05 17:00:00.000 UTC,172541789.46454197,197195035.9113207,13763,37755366.17792961,45158496.998639636,57,95122345.58232154,111379036.25747624,3643
2024-01-05 18:00:00.000 UTC,354474023.1549946,251285591.9487624,11490,90857926.12536699,75454198.65336803,44,226833309.64587387,216306329.05406314,3450
2024-01-05 19:00:00.000 UTC,291193711.4901644,286823649.64877146,9919,41886963.93658947,66742844.07949597,45,250970851.70465437,162827098.0153313,3010
2024-01-05 20:00:00.000 UTC,402198762.5025862,419745166.4615529,11231,2554430.9935143786,3440840.3845527726,28,352509612.3419431,374478086.92153144,3289
2024-01-05 21:00:00.000 UTC,185580297.05905405,204137325.0066333,10313,37337019.15506923,35416377.58350537,61,143293741.60381278,163288800.9168748,2472
2024-01-05 22:00:00.000 UTC,180284976.0015167,171764784.62591982,10012,79147357.97967777,44168021.35979474,38,69678345.32096893,63989709.90473952,2470
2024-01-05 23:00:00.000 UTC,223209391.81387857,174798606.45189992,9482,175290.03439715345,5379570.379339552,16,100339104.09503876,103237690.5810877,2178
2024-01-06 00:00:00.000 UTC,105850440.59252997,126476065.82841702,10133,5829230.993489229,29468784.326770063,26,32632886.59070517,44647106.09235094,2579
2024-01-06 01:00:00.000 UTC,121024968.19001265,82159170.66789846,9208,11160.280785533643,15930.278957213577,14,51750075.48374525,17826141.585691918,2146
2024-01-06 02:00:00.000 UTC,204887015.84867194,206572821.0531401,8221,0.0,5656.042252571541,5,123645570.73770902,135974754.89179552,1794
2024-01-06 03:00:00.000 UTC,162927451.31070408,153811948.74196303,7036,4969811.133393604,5044597.901262634,13,106110519.88517216,123740202.9533534,1552
2024-01-06 04:00:00.000 UTC,369902040.6397594,438359219.582114,6735,11663.770998903452,26819.788508454625,9,330358083.65583825,354983511.2684765,1502
2024-01-06 05:00:00.000 UTC,117462406.27361852,122068239.74275102,8883,18964.616268080732,552926.7936170107,11,56138808.06604306,50491730.01610586,2440
2024-01-06 06:00:00.000 UTC,167689888.49534482,141064651.18637908,7842,170264.4782025502,60664.846715022715,7,99697893.21599686,69754405.7821811,1615
2024-01-06 07:00:00.000 UTC,71884331.15755793,57523564.28346771,7608,28299.727755704083,48043.929957952794,10,39970927.49737976,28515952.089565217,1778
2024-01-06 08:00:00.000 UTC,154360252.40624917,162002615.1924418,7777,1029045.6012933436,520513.60351554706,10,104712917.55086343,134333482.40475225,2038
2024-01-06 09:00:00.000 UTC,80172313.02278529,94417774.44522098,9059,3419.7540117626277,17298.049246806913,4,43772775.34900786,52456679.16905317,2213
2024-01-06 10:00:00.000 UTC,56229941.05916035,87019527.1589959,10795,0.0,4887.722681726773,3,27609905.944241136,56245242.49656769,2510
2024-01-06 11:00:00.000 UTC,65262292.05221945,61179559.175954424,10151,0.0,55281.395317591305,8,30291358.214776583,25269327.944884833,2408
2024-01-06 12:00:00.000 UTC,46481772.66388116,65966304.298830524,9535,37420.92749932901,119008.87652201708,8,27140383.210440673,36166229.16077837,2339
2024-01-06 13:00:00.000 UTC,101094330.91336039,101300217.298587,9465,3722.9540281877603,7018.800749978496,10,71904311.38934618,77434360.61292607,2322
2024-01-06 14:00:00.000 UTC,107023503.57390854,128269407.2241893,14687,9408.67775127124,197772.30617367086,13,80302351.8008231,91287679.30326156,3166
2024-01-06 15:00:00.000 UTC,83482700.37149557,91724622.88068448,11414,14857.032014848786,33933.16066699161,7,37112384.44831728,31313691.140816037,2304
2024-01-06 16:00:00.000 UTC,89943172.45382568,94346302.9510244,10418,77.18873270999998,3059.123879073497,5,33461583.883165944,34481751.593896024,2314
2024-01-06 17:00:00.000 UTC,134933115.32324973,145281736.18347418,10179,205981.13105460745,81955.07169442668,8,69110832.67826693,67351511.3304826,2298
2024-01-06 18:00:00.000 UTC,105293473.8056116,90620868.71383779,9937,21085.93715305297,31922.28912499412,10,43197814.70760527,33406441.609438803,2222
2024-01-06 19:00:00.000 UTC,92478059.6469495,91841440.4230917,10307,166752.23704569167,1481856.5462911103,24,69627947.58747855,67560755.41520001,2111
2024-01-06 20:00:00.000 UTC,86453125.76821254,87591266.96554683,9895,396452.10614401445,95132.75746682048,33,63615984.113201655,64882016.839477494,2112
2024-01-06 21:00:00.000 UTC,48989949.603396356,42996473.12438346,9283,1238273.9267245724,35248.4595058696,54,29361595.496340185,26271993.32129837,2124
2024-01-06 22:00:00.000 UTC,162414622.05467287,165847142.32442302,8478,140421.86464100392,23042.433568627326,23,116110126.41326101,121407775.08229536,1991
2024-01-06 23:00:00.000 UTC,52499175.06503802,64090252.541277885,8383,126135.0035509671,48326.46086745751,30,30071066.5871144,37678337.26927054,1827
2024-01-07 00:00:00.000 UTC,98789990.48293507,94395483.75124684,8703,290629.0019327913,234380.15687419235,24,73647480.6847818,61655551.84864071,1801
2024-01-07 01:00:00.000 UTC,62228771.66673736,69797675.33090141,8798,257703.48537873398,53525.29180580937,27,14747877.797204899,28331920.120550502,1799
